assembly_accession,assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,"relation_to_type_material
",filepath
GCF_000010405.1,GCF_000010405.1,PRJNA224116,SAMD00060908,,na,412965,412965,Candidatus Vesicomyosocius okutanii,strain=HA,,latest,Complete Genome,Major,Full,2007/05/08,ASM1040v1,Japan Agency for Maine-Earth Science and Technology,GCA_000010405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/405/GCF_000010405.1_ASM1040v1,,"
",GCF_000010405.1_ASM1040v1_genomic.gbff
GCF_000010525.1,GCF_000010525.1,PRJNA224116,SAMD00060925,,representative genome,438753,7,Azorhizobium caulinodans ORS 571,strain=ORS 571,,latest,Complete Genome,Major,Full,2007/10/16,ASM1052v1,University of Tokyo,GCA_000010525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/525/GCF_000010525.1_ASM1052v1,,"assembly from type material
",GCF_000010525.1_ASM1052v1_genomic.gbff
GCF_000010645.1,GCF_000010645.1,PRJNA224116,SAMD00060940,,na,511995,511435,Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2,,,latest,Complete Genome,Major,Full,2008/11/12,ASM1064v1,RIKEN Genomic Sciences Center (GSC),GCA_000010645.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/645/GCF_000010645.1_ASM1064v1,,"
",GCF_000010645.1_ASM1064v1_genomic.gbff
GCF_000010985.1,GCF_000010985.1,PRJNA224116,SAMD00060965,,representative genome,639282,197162,Deferribacter desulfuricans SSM1,strain=SSM1,,latest,Complete Genome,Major,Full,2010/03/05,ASM1098v1,Japan Agency for Marine-Earth Science and Technology,GCA_000010985.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/985/GCF_000010985.1_ASM1098v1,,"assembly from type material
",GCF_000010985.1_ASM1098v1_genomic.gbff
GCF_000011225.1,GCF_000011225.1,PRJNA224116,SAMD00061084,,representative genome,272633,28227,Mycoplasma penetrans HF-2,strain=HF-2,,latest,Complete Genome,Major,Full,2004/05/11,ASM1122v1,NIID Japan,GCA_000011225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/225/GCF_000011225.1_ASM1122v1,,"
",GCF_000011225.1_ASM1122v1_genomic.gbff
GCF_000011805.1,GCF_000011805.1,PRJNA224116,SAMN02604303,,representative genome,312309,668,Aliivibrio fischeri ES114,strain=ES114,,latest,Complete Genome,Major,Full,2008/04/02,ASM1180v1,W.M. Keck Microbial Communities and Cell-signaling Program,GCA_000011805.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/805/GCF_000011805.1_ASM1180v1,,"
",GCF_000011805.1_ASM1180v1_genomic.gbff
GCF_000012225.1,GCF_000012225.1,PRJNA224116,SAMN02603687,,na,322098,229545,Aster yellows witches'-broom phytoplasma AYWB,strain=AY-WB,,latest,Complete Genome,Major,Full,2006/01/11,ASM1222v1,Ohio State University,GCA_000012225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/225/GCF_000012225.1_ASM1222v1,,"
",GCF_000012225.1_ASM1222v1_genomic.gbff
GCF_000012405.1,GCF_000012405.1,PRJNA224116,SAMN02598543,,representative genome,269800,2021,Thermobifida fusca YX,strain=YX,,latest,Complete Genome,Major,Full,2005/08/08,ASM1240v1,DOE Joint Genome Institute,GCA_000012405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/405/GCF_000012405.1_ASM1240v1,,"
",GCF_000012405.1_ASM1240v1_genomic.gbff
GCF_000012425.1,GCF_000012425.1,PRJNA224116,SAMN02598546,,representative genome,159087,259537,Dechloromonas aromatica RCB,strain=RCB,,latest,Complete Genome,Major,Full,2005/08/05,ASM1242v1,DOE Joint Genome Institute,GCA_000012425.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/425/GCF_000012425.1_ASM1242v1,,"
",GCF_000012425.1_ASM1242v1_genomic.gbff
GCF_000012485.1,GCF_000012485.1,PRJNA224116,SAMN02598284,,representative genome,319225,1100,Pelodictyon luteolum DSM 273,strain=DSM 273,,latest,Complete Genome,Major,Full,2005/10/26,ASM1248v1,DOE Joint Genome Institute,GCA_000012485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/485/GCF_000012485.1_ASM1248v1,,"assembly from type material
",GCF_000012485.1_ASM1248v1_genomic.gbff
GCF_000012745.1,GCF_000012745.1,PRJNA224116,SAMN02598291,,representative genome,292415,36861,Thiobacillus denitrificans ATCC 25259,strain=ATCC 25259,,latest,Complete Genome,Major,Full,2005/09/01,ASM1274v1,DOE Joint Genome Institute,GCA_000012745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/745/GCF_000012745.1_ASM1274v1,,"
",GCF_000012745.1_ASM1274v1_genomic.gbff
GCF_000012865.1,GCF_000012865.1,PRJNA224116,SAMN02603998,,representative genome,246194,129958,Carboxydothermus hydrogenoformans Z-2901,strain=Z-2901,,latest,Complete Genome,Major,Full,2005/10/21,ASM1286v1,TIGR,GCA_000012865.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/865/GCF_000012865.1_ASM1286v1,,"assembly from type material
",GCF_000012865.1_ASM1286v1_genomic.gbff
GCF_000012925.1,GCF_000012925.1,PRJNA224116,SAMN02598399,,representative genome,269799,28232,Geobacter metallireducens GS-15,strain=GS-15,,latest,Complete Genome,Major,Full,2005/10/27,ASM1292v1,DOE Joint Genome Institute,GCA_000012925.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/925/GCF_000012925.1_ASM1292v1,,"assembly from type material
",GCF_000012925.1_ASM1292v1_genomic.gbff
GCF_000013185.1,GCF_000013185.1,PRJNA224116,SAMN02604023,,na,374463,186490,Baumannia cicadellinicola str. Hc (Homalodisca coagulata),strain=Hc (Homalodisca coagulata),,latest,Complete Genome,Major,Full,2006/04/27,ASM1318v1,TIGR,GCA_000013185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/185/GCF_000013185.1_ASM1318v1,,"
",GCF_000013185.1_ASM1318v1_genomic.gbff
GCF_000013205.1,GCF_000013205.1,PRJNA224116,SAMN02604048,,na,321327,321327,Synechococcus sp. JA-3-3Ab,strain=JA-3-3Ab,,latest,Complete Genome,Major,Full,2006/02/06,ASM1320v1,TIGR,GCA_000013205.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/205/GCF_000013205.1_ASM1320v1,,"
",GCF_000013205.1_ASM1320v1_genomic.gbff
GCF_000013345.1,GCF_000013345.1,PRJNA224116,SAMN02199398,,representative genome,106370,106370,Frankia casuarinae,strain=CcI3,,latest,Complete Genome,Major,Full,2006/02/06,ASM1334v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000013345.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/345/GCF_000013345.1_ASM1334v1,,"assembly from type material
",GCF_000013345.1_ASM1334v1_genomic.gbff
GCF_000013405.1,GCF_000013405.1,PRJNA224116,SAMN02603418,,representative genome,56780,316277,Syntrophus aciditrophicus SB,strain=SB,,latest,Complete Genome,Major,Full,2006/01/26,ASM1340v1,Integrated Genomics,GCA_000013405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/405/GCF_000013405.1_ASM1340v1,,"assembly from type material
",GCF_000013405.1_ASM1340v1_genomic.gbff
GCF_000013565.1,GCF_000013565.1,PRJNA224116,SAMN02598279,,na,290400,290400,Jannaschia sp. CCS1,strain=CCS1,,latest,Complete Genome,Major,Full,2006/02/27,ASM1356v1,US DOE Joint Genome Institute,GCA_000013565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/565/GCF_000013565.1_ASM1356v1,,"
",GCF_000013565.1_ASM1356v1_genomic.gbff
GCF_000013605.1,GCF_000013605.1,PRJNA224116,SAMN02598320,,representative genome,338969,192843,Rhodoferax ferrireducens T118,strain=DSM 15236,,latest,Complete Genome,Major,Full,2006/03/10,ASM1360v1,DOE Joint Genome Institute,GCA_000013605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/605/GCF_000013605.1_ASM1360v1,,"assembly from type material
",GCF_000013605.1_ASM1360v1_genomic.gbff
GCF_000014005.1,GCF_000014005.1,PRJNA224116,SAMN02598354,,na,204669,658062,Candidatus Koribacter versatilis Ellin345,strain=Ellin345,,latest,Complete Genome,Major,Full,2006/05/04,ASM1400v1,DOE Joint Genome Institute,GCA_000014005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/005/GCF_000014005.1_ASM1400v1,,"
",GCF_000014005.1_ASM1400v1_genomic.gbff
GCF_000014145.1,GCF_000014145.1,PRJNA224116,SAMN02598536,,representative genome,269798,985,Cytophaga hutchinsonii ATCC 33406,strain=ATCC 33406,,latest,Complete Genome,Major,Full,2006/07/11,ASM1414v1,DOE Joint Genome Institute,GCA_000014145.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/145/GCF_000014145.1_ASM1414v1,,"assembly from type material
",GCF_000014145.1_ASM1414v1_genomic.gbff
GCF_000014245.1,GCF_000014245.1,PRJNA224116,SAMN02598260,,na,266779,266779,Chelativorans sp. BNC1,strain=BNC1,,latest,Complete Genome,Major,Full,2006/07/11,ASM1424v1,DOE Joint Genome Institute,GCA_000014245.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/245/GCF_000014245.1_ASM1424v1,,"
",GCF_000014245.1_ASM1424v1_genomic.gbff
GCF_000014265.1,GCF_000014265.1,PRJNA224116,SAMN02598485,,representative genome,203124,1206,Trichodesmium erythraeum IMS101,strain=IMS101,,latest,Complete Genome,Major,Full,2006/07/06,ASM1426v1,DOE Joint Genome Institute,GCA_000014265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/265/GCF_000014265.1_ASM1426v1,,"
",GCF_000014265.1_ASM1426v1_genomic.gbff
GCF_000014485.1,GCF_000014485.1,PRJNA224116,SAMN02598313,,na,322159,1308,Streptococcus thermophilus LMD-9,strain=LMD-9,,latest,Complete Genome,Major,Full,2006/10/13,ASM1448v1,"US DOE Joint Genome Institute (JGI), The Lactic Acid Bacteria Genome Consortium and Fidelity Systems Inc.",GCA_000014485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/485/GCF_000014485.1_ASM1448v1,,"
",GCF_000014485.1_ASM1448v1_genomic.gbff
GCF_000014725.1,GCF_000014725.1,PRJNA224116,SAMN02598286,,representative genome,335541,863,Syntrophomonas wolfei subsp. wolfei str. Goettingen G311,strain=Goettingen,,latest,Complete Genome,Major,Full,2006/09/14,ASM1472v1,DOE Joint Genome Institute,GCA_000014725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/725/GCF_000014725.1_ASM1472v1,,"assembly from type material
",GCF_000014725.1_ASM1472v1_genomic.gbff
GCF_000014745.1,GCF_000014745.1,PRJNA224116,SAMN02598382,,representative genome,394221,74318,Maricaulis maris MCS10,strain=MCS10,,latest,Complete Genome,Major,Full,2006/09/14,ASM1474v1,DOE Joint Genome Institute,GCA_000014745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/745/GCF_000014745.1_ASM1474v1,,"
",GCF_000014745.1_ASM1474v1_genomic.gbff
GCF_000014765.1,GCF_000014765.1,PRJNA224116,SAMN02598323,,representative genome,335283,916,Nitrosomonas eutropha C91,strain=C91,,latest,Complete Genome,Major,Full,2006/09/13,ASM1476v1,DOE Joint Genome Institute,GCA_000014765.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/765/GCF_000014765.1_ASM1476v1,,"
",GCF_000014765.1_ASM1476v1_genomic.gbff
GCF_000014785.1,GCF_000014785.1,PRJNA224116,SAMN02598349,,representative genome,187272,351052,Alkalilimnicola ehrlichii MLHE-1,strain=MLHE-1,,latest,Complete Genome,Major,Full,2006/09/12,ASM1478v1,DOE Joint Genome Institute,GCA_000014785.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/785/GCF_000014785.1_ASM1478v1,,"assembly from type material
",GCF_000014785.1_ASM1478v1_genomic.gbff
GCF_000014865.1,GCF_000014865.1,PRJNA224116,SAMN02598452,,representative genome,156889,1124597,Magnetococcus marinus MC-1,strain=MC-1,,latest,Complete Genome,Major,Full,2006/11/08,ASM1486v1,US DOE Joint Genome Institute,GCA_000014865.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/865/GCF_000014865.1_ASM1486v1,,"assembly from type material
",GCF_000014865.1_ASM1486v1_genomic.gbff
GCF_000014905.1,GCF_000014905.1,PRJNA224116,SAMN02598277,,na,234267,332163,Candidatus Solibacter usitatus Ellin6076,strain=Ellin6076,,latest,Complete Genome,Major,Full,2006/10/16,ASM1490v1,US DOE Joint Genome Institute,GCA_000014905.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/905/GCF_000014905.1_ASM1490v1,,"
",GCF_000014905.1_ASM1490v1_genomic.gbff
GCF_000014965.1,GCF_000014965.1,PRJNA224116,SAMN02598285,,representative genome,335543,119484,Syntrophobacter fumaroxidans MPOB,strain=MPOB,,latest,Complete Genome,Major,Full,2006/10/26,ASM1496v1,US DOE Joint Genome Institute,GCA_000014965.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/965/GCF_000014965.1_ASM1496v1,,"assembly from type material
",GCF_000014965.1_ASM1496v1_genomic.gbff
GCF_000015025.1,GCF_000015025.1,PRJNA224116,SAMN02598358,,representative genome,351607,28049,Acidothermus cellulolyticus 11B,strain=11B; ATCC 43068,,latest,Complete Genome,Major,Full,2006/11/09,ASM1502v1,DOE Joint Genome Institute,GCA_000015025.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/025/GCF_000015025.1_ASM1502v1,,"assembly from type material
",GCF_000015025.1_ASM1502v1_genomic.gbff
GCF_000015065.1,GCF_000015065.1,PRJNA224116,SAMN02598406,,na,412694,1428,Bacillus thuringiensis str. Al Hakam,strain=Al Hakam,,latest,Complete Genome,Major,Full,2006/11/27,ASM1506v1,DOE Joint Genome Institute,GCA_000015065.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/065/GCF_000015065.1_ASM1506v1,,"
",GCF_000015065.1_ASM1506v1_genomic.gbff
GCF_000015105.1,GCF_000015105.1,PRJNA224116,SAMN02598375,,na,413404,386487,Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica),strain=Cm,,latest,Complete Genome,Major,Full,2006/12/01,ASM1510v1,DOE Joint Genome Institute,GCA_000015105.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/105/GCF_000015105.1_ASM1510v1,,"
",GCF_000015105.1_ASM1510v1_genomic.gbff
GCF_000015265.1,GCF_000015265.1,PRJNA224116,SAMN02598280,,na,196162,196162,Nocardioides sp. JS614,strain=JS614,,latest,Complete Genome,Major,Full,2006/12/18,ASM1526v1,DOE Joint Genome Institute,GCA_000015265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/265/GCF_000015265.1_ASM1526v1,,"
",GCF_000015265.1_ASM1526v1_genomic.gbff
GCF_000015565.1,GCF_000015565.1,PRJNA224116,SAMN02598379,,representative genome,391735,364317,Verminephrobacter eiseniae EF01-2,strain=EF01-2,,latest,Complete Genome,Major,Full,2007/01/09,ASM1556v1,DOE Joint Genome Institute,GCA_000015565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/565/GCF_000015565.1_ASM1556v1,,"assembly from type material
",GCF_000015565.1_ASM1556v1_genomic.gbff
GCF_000015885.1,GCF_000015885.1,PRJNA224116,SAMN02603665,,na,416269,715,Actinobacillus pleuropneumoniae serovar 5b str. L20,strain=L20,,latest,Complete Genome,Major,Full,2007/02/23,ASM1588v1,National Research Council of Canada,GCA_000015885.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/885/GCF_000015885.1_ASM1588v1,,"
",GCF_000015885.1_ASM1588v1_genomic.gbff
GCF_000016165.1,GCF_000016165.1,PRJNA224116,SAMN02598304,,representative genome,349161,59610,Desulfotomaculum reducens MI-1,strain=MI-1,,latest,Complete Genome,Major,Full,2007/03/24,ASM1616v1,US DOE Joint Genome Institute,GCA_000016165.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/165/GCF_000016165.1_ASM1616v1,,"assembly from type material
",GCF_000016165.1_ASM1616v1_genomic.gbff
GCF_000016185.1,GCF_000016185.1,PRJNA224116,SAMN02603908,,representative genome,414684,34018,Rhodospirillum centenum SW,strain=SW; ATCC 51521,,latest,Complete Genome,Major,Full,2010/02/17,ASM1618v1,TGen,GCA_000016185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/185/GCF_000016185.1_ASM1618v1,,"
",GCF_000016185.1_ASM1618v1_genomic.gbff
GCF_000016285.1,GCF_000016285.1,PRJNA224116,SAMN02602976,,na,311402,373,Agrobacterium vitis S4,strain=S4,Kecskemet-Hungary; ATCC BAA-846,latest,Complete Genome,Major,Full,2009/01/27,ASM1628v1,Agrobacterium consortium,GCA_000016285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/285/GCF_000016285.1_ASM1628v1,,"
",GCF_000016285.1_ASM1628v1_genomic.gbff
GCF_000016545.1,GCF_000016545.1,PRJNA224116,SAMN00623033,,representative genome,351627,44001,Caldicellulosiruptor saccharolyticus DSM 8903,strain=DSM 8903,,latest,Complete Genome,Major,Full,2007/04/19,ASM1654v1,US DOE Joint Genome Institute,GCA_000016545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/545/GCF_000016545.1_ASM1654v1,,"assembly from type material
",GCF_000016545.1_ASM1654v1_genomic.gbff
GCF_000016665.1,GCF_000016665.1,PRJNA224116,SAMN02598362,,na,357808,357808,Roseiflexus sp. RS-1,strain=RS-1,,latest,Complete Genome,Major,Full,2007/06/04,ASM1666v1,US DOE Joint Genome Institute,GCA_000016665.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/665/GCF_000016665.1_ASM1666v1,,"
",GCF_000016665.1_ASM1666v1_genomic.gbff
GCF_000016765.1,GCF_000016765.1,PRJNA224116,SAMN02598383,,representative genome,392499,160791,Sphingomonas wittichii RW1,strain=RW1,,latest,Complete Genome,Major,Full,2007/05/31,ASM1676v1,US DOE Joint Genome Institute,GCA_000016765.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/765/GCF_000016765.1_ASM1676v1,,"assembly from type material
",GCF_000016765.1_ASM1676v1_genomic.gbff
GCF_000017265.1,GCF_000017265.1,PRJNA224116,SAMN02603048,,representative genome,450851,284016,Phenylobacterium zucineum HLK1,strain=HLK1,,latest,Complete Genome,Major,Full,2008/08/18,ASM1726v1,"Cancer Institute, The Second Affiliated Hospital, Zhejiang University Medical School",GCA_000017265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/265/GCF_000017265.1_ASM1726v1,,"assembly from type material
",GCF_000017265.1_ASM1726v1_genomic.gbff
GCF_000017305.1,GCF_000017305.1,PRJNA224116,SAMN02598259,,representative genome,266940,131568,Kineococcus radiotolerans SRS30216 = ATCC BAA-149,strain=SRS30216,,latest,Complete Genome,Major,Full,2008/08/14,ASM1730v1,US DOE Joint Genome Institute,GCA_000017305.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/305/GCF_000017305.1_ASM1730v1,,"assembly from type material
",GCF_000017305.1_ASM1730v1_genomic.gbff
GCF_000017505.1,GCF_000017505.1,PRJNA224116,SAMN02598401,,na,404589,404589,Anaeromyxobacter sp. Fw109-5,strain=Fw109-5,,latest,Complete Genome,Major,Full,2007/07/17,ASM1750v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000017505.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/505/GCF_000017505.1_ASM1750v1,,"
",GCF_000017505.1_ASM1750v1_genomic.gbff
GCF_000017545.1,GCF_000017545.1,PRJNA224116,SAMN00623043,,representative genome,381764,2424,Fervidobacterium nodosum Rt17-B1,strain=Rt17-B1,,latest,Complete Genome,Major,Full,2007/07/30,ASM1754v1,US DOE Joint Genome Institute,GCA_000017545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/545/GCF_000017545.1_ASM1754v1,,"assembly from type material
",GCF_000017545.1_ASM1754v1_genomic.gbff
GCF_000017565.1,GCF_000017565.1,PRJNA224116,SAMN00623055,,representative genome,402881,256618,Parvibaculum lavamentivorans DS-1,strain=DS-1,,latest,Complete Genome,Major,Full,2007/07/30,ASM1756v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000017565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/565/GCF_000017565.1_ASM1756v1,,"assembly from type material
",GCF_000017565.1_ASM1756v1_genomic.gbff
GCF_000017645.1,GCF_000017645.1,PRJNA224116,SAMN02598342,,representative genome,78245,280,Xanthobacter autotrophicus Py2,strain=Py2,,latest,Complete Genome,Major,Full,2007/07/30,ASM1764v1,US DOE Joint Genome Institute,GCA_000017645.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/645/GCF_000017645.1_ASM1764v1,,"assembly from type material
",GCF_000017645.1_ASM1764v1_genomic.gbff
GCF_000017765.1,GCF_000017765.1,PRJNA224116,SAMN02604037,,na,331112,562,Escherichia coli HS,strain=HS,,latest,Complete Genome,Major,Full,2007/09/10,ASM1776v1,TIGR,GCA_000017765.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/765/GCF_000017765.1_ASM1776v1,,"
",GCF_000017765.1_ASM1776v1_genomic.gbff
GCF_000017805.1,GCF_000017805.1,PRJNA224116,SAMN02598306,,representative genome,383372,120962,Roseiflexus castenholzii DSM 13941,strain=DSM 13941,,latest,Complete Genome,Major,Full,2007/08/23,ASM1780v1,US DOE Joint Genome Institute,GCA_000017805.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/805/GCF_000017805.1_ASM1780v1,,"assembly from type material
",GCF_000017805.1_ASM1780v1_genomic.gbff
